CUST_ID	CUST_NAME	ADDRESS	CITY	STATE	WEBSITE	CREDIT_LIMIT	VERSION
177	United Continental Holdings	"2904 S Salina St, Syracuse, NY"	 Bangalore	 ka	http://www.unitedcontinentalholdings.com	1000	2
180	INTL FCStone	"5344 Haverford Ave, Philadelphia, PA"	 Chennai	 TN	http://www.intlfcstone.com	80000	2
184	Publix Super Markets	"1795 Wu Meng, Muang Chonburi, "	 Muang Chonburi	 	http://www.publix.com	1200	1
187	ConocoPhillips	"Walpurgisstr 69, Munich, "	 Munich	 	http://www.conocophillips.com	2400	1
190	3M	"Via Frenzy 6903, Roma, "	 Roma	 	http://www.3m.com	1200	1
192	Exelon	"Via Luminosa 162, Firenze, "	 Firenze	 	http://www.exeloncorp.com	500	1
208	Tesoro	"Via Notoriosa 1942, Firenze, "	 Firenze	 	http://www.tsocorp.com	500	1
207	Northwestern Mutual	"1831 No Wong, Peking, "	 Peking	 	http://www.northwesternmutual.com	3600	1
200	Enterprise Products Partners	"Via Notoriosa 1949, Firenze, "	 Firenze	 	http://www.enterpriseproducts.com	2400	1
204	Rite Aid	"Piazza Cacchiatore 23, San Giminiano, "	 San Giminiano	 	http://www.riteaid.com	3600	1
212	Qualcomm	"Piazza Svizzera, Milano, "	 Milano	 	http://www.qualcomm.com	500	1
216	EMC	"Via Delle Grazie 11, San Giminiano, "	 San Giminiano	 	http://www.emc.com	700	1
220	Time Warner Cable	"1597 Legend St, Mysore, Kar"	 Mysore	 Kar	http://www.twc.com	3700	1
223	Northrop Grumman	"1606 Sangam Blvd, New Delhi, "	 New Delhi	 	http://www.northropgrumman.com	5000	1
39	Lear	"2115 N Towne Ln Ne, Cedar Rapids, IA"	 Cedar Rapids	 IA	http://www.lear.com	500	1
43	Facebook	"5112 Sw 9Th St, Des Moines, IA"	 Des Moines	 IA	http://www.facebook.com	500	1
46	Supervalu	"8989 N Port Washington Rd, Milwaukee, WI"	 Milwaukee	 WI	http://www.supervalu.com	500	1
