ORDER_ID|CUSTOMER_ID|STATUS|SALESMAN_ID|ORDER_DATE
105|1|Pending|54|11/17/2016 00:00:00
44|2|Pending|55|02/20/2017 00:00:00
101|3|Pending|55|01/03/2017 00:00:00
1|4|Pending|56|10/15/2017 00:00:00
5|5|Canceled|56|04/09/2017 00:00:00
28|6|Canceled|57|08/15/2017 00:00:00
87|7|Canceled|57|12/01/2016 00:00:00
4|8|Shipped|59|04/09/2015 00:00:00
41|9|Shipped|59|05/11/2017 00:00:00
82|44|Shipped|60|12/03/2016 00:00:00
102|45|Shipped|61|12/20/2016 00:00:00
26|46|Shipped|62|08/16/2016 00:00:00
43|47|Shipped|62|05/02/2015 00:00:00
53|48|Shipped|62|09/29/2016 00:00:00
81|49|Shipped|62|12/13/2016 00:00:00
83|16|Shipped|62|12/02/2016 00:00:00
93|17|Shipped|62|10/27/2016 00:00:00
94|1|Shipped|62|10/27/2017 00:00:00
79|2|Shipped|64|12/14/2016 00:00:00
80|3|Shipped|64|12/13/2016 00:00:00
2|4|Shipped||04/26/2015 00:00:00
3|5|Shipped||04/26/2017 00:00:00
6|6|Shipped||04/09/2015 00:00:00
7|7|Shipped||02/15/2017 00:00:00
8|8|Shipped||02/14/2017 00:00:00
9|9|Shipped||02/14/2017 00:00:00
10|44|Pending||01/24/2017 00:00:00
11|45|Shipped||11/29/2016 00:00:00
12|46|Shipped||11/29/2016 00:00:00
13|47|Shipped||11/29/2016 00:00:00
14|48|Shipped||09/28/2017 00:00:00
15|49|Shipped||09/27/2017 00:00:00
16|16|Pending||09/27/2016 00:00:00
17|17|Shipped||09/27/2017 00:00:00
18|18|Shipped||08/16/2016 00:00:00
19|19|Shipped||05/27/2016 00:00:00
20|20|Shipped||05/27/2017 00:00:00
21|21|Pending||05/27/2017 00:00:00
22|22|Canceled||05/26/2016 00:00:00
23|23|Shipped||09/07/2016 00:00:00
24|41|Shipped||09/07/2016 00:00:00
25|42|Shipped||08/24/2016 00:00:00
27|43|Canceled||08/16/2016 00:00:00
29|44|Shipped||08/14/2017 00:00:00
30|45|Shipped||08/12/2017 00:00:00
31|46|Canceled||08/12/2017 00:00:00
32|47|Shipped||03/09/2017 00:00:00
33|48|Shipped||03/07/2017 00:00:00
34|49|Shipped||06/12/2016 00:00:00
35|50|Shipped||09/05/2016 00:00:00
36|51|Shipped||09/05/2017 00:00:00
37|52|Shipped||02/19/2017 00:00:00
38|53|Canceled|57|05/31/2015 00:00:00
39|54|Shipped|62|10/22/2016 00:00:00
40|55|Shipped|62|05/11/2017 00:00:00
42|56|Canceled|64|05/03/2015 00:00:00
45|57|Shipped|64|02/20/2017 00:00:00
46|58|Pending|62|02/20/2017 00:00:00
47|59|Canceled|62|10/10/2016 00:00:00
48|60|Canceled|64|10/10/2016 00:00:00
49|61|Shipped|55|10/02/2016 00:00:00
50|62|Pending|55|10/02/2016 00:00:00
51|63|Shipped|59|10/02/2016 00:00:00
52|64|Shipped|60|10/02/2016 00:00:00
54|65|Shipped|56|09/29/2016 00:00:00
55|66|Pending|59|09/29/2016 00:00:00
56|67|Canceled|55|09/29/2016 00:00:00
57|68|Shipped|57|08/24/2017 00:00:00
58|69|Shipped|57|08/24/2016 00:00:00
59|70|Shipped|59|06/29/2015 00:00:00
60|1|Shipped|62|06/30/2017 00:00:00
61|2|Shipped|54|06/30/2016 00:00:00
62|3|Shipped|62|06/30/2015 00:00:00
63|4|Shipped|61|06/30/2016 00:00:00
64|5|Shipped|64|06/21/2016 00:00:00
65|6|Shipped|64|06/21/2013 00:00:00
66|7|Canceled|61|06/21/2016 00:00:00
67|8|Canceled|61|06/14/2016 00:00:00
68|9|Pending||06/13/2016 00:00:00
69|44|Canceled|54|03/17/2017 00:00:00
70|45|Canceled|61|02/21/2017 00:00:00
71|46|Shipped|54|02/21/2017 00:00:00
72|47|Shipped|64|02/17/2016 00:00:00
73|48|Shipped||02/17/2016 00:00:00
74|49|Shipped|64|02/10/2017 00:00:00
75|16|Shipped||02/10/2017 00:00:00
76|17|Shipped|55|02/10/2017 00:00:00
77|1|Shipped|60|01/02/2017 00:00:00
78|2|Pending|64|12/14/2015 00:00:00
84|3|Shipped|64|12/01/2015 00:00:00
85|4|Pending|55|12/01/2016 00:00:00
86|5|Pending|60|11/30/2016 00:00:00
88|6|Shipped|61|11/01/2017 00:00:00
89|7|Shipped|55|10/27/2015 00:00:00
90|8|Pending|55|10/28/2015 00:00:00
91|9|Pending|56|10/28/2016 00:00:00
92|44|Shipped|59|10/28/2015 00:00:00
95|45|Shipped|59|09/19/2016 00:00:00
96|46|Shipped|56|09/14/2016 00:00:00
97|47|Canceled|60|07/12/2016 00:00:00
98|48|Shipped|55|03/18/2017 00:00:00
99|49|Shipped|60|01/07/2017 00:00:00
100|16|Pending|54|01/05/2017 00:00:00
103|17|Pending|64|02/08/2016 00:00:00
104|18|Shipped|60|02/01/2017 00:00:00
