CUST_ID	CUST_NAME	ADDRESS	CITY	STATE	WEBSITE	CREDIT_LIMIT	DATE_ENTERED
177	United Continental Holdings	"2904 S Salina St, Syracuse, NY"	 Syracuse	 NY	http://www.unitedcontinentalholdings.com	5000	02/16/2016 00:00:00
180	INTL FCStone	"5344 Haverford Ave, Philadelphia, PA"	 Philadelphia	 PA	http://www.intlfcstone.com	5000	11/16/2016 00:00:00
184	Publix Super Markets	"1795 Wu Meng, Muang Chonburi, "	 Muang Chonburi	 	http://www.publix.com	1200	11/16/2016 00:00:00
187	ConocoPhillips	"Walpurgisstr 69, Munich, "	 Munich	 	http://www.conocophillips.com	2400	11/16/2016 00:00:00
190	3M	"Via Frenzy 6903, Roma, "	 Roma	 	http://www.3m.com	1200	08/20/2016 00:00:00
192	Exelon	"Via Luminosa 162, Firenze, "	 Firenze	 	http://www.exeloncorp.com	500	09/21/2016 00:00:00
208	Tesoro	"Via Notoriosa 1942, Firenze, "	 Firenze	 	http://www.tsocorp.com	500	09/28/2016 00:00:00
207	Northwestern Mutual	"1831 No Wong, Peking, "	 Peking	 	http://www.northwesternmutual.com	3600	08/16/2016 00:00:00
200	Enterprise Products Partners	"Via Notoriosa 1949, Firenze, "	 Firenze	 	http://www.enterpriseproducts.com	2400	09/21/2016 00:00:00
204	Rite Aid	"Piazza Cacchiatore 23, San Giminiano, "	 San Giminiano	 	http://www.riteaid.com	3600	09/30/2016 00:00:00
212	Qualcomm	"Piazza Svizzera, Milano, "	 Milano	 	http://www.qualcomm.com	500	09/28/2016 00:00:00
216	EMC	"Via Delle Grazie 11, San Giminiano, "	 San Giminiano	 	http://www.emc.com	700	08/17/2016 00:00:00
220	Time Warner Cable	"1597 Legend St, Mysore, Kar"	 Mysore	 Kar	http://www.twc.com	3700	09/21/2016 00:00:00
223	Northrop Grumman	"1606 Sangam Blvd, New Delhi, "	 New Delhi	 	http://www.northropgrumman.com	5000	09/21/2016 00:00:00
39	Lear	"2115 N Towne Ln Ne, Cedar Rapids, IA"	 Cedar Rapids	 IA	http://www.lear.com	500	05/21/2016 00:00:00
43	Facebook	"5112 Sw 9Th St, Des Moines, IA"	 Des Moines	 IA	http://www.facebook.com	500	08/17/2016 00:00:00
46	Supervalu	"8989 N Port Washington Rd, Milwaukee, WI"	 Milwaukee	 WI	http://www.supervalu.com	500	09/28/2016 00:00:00
49	NextEra Energy	"4715 Sprecher Rd, Madison, WI"	 Madison	 WI	http://www.nexteraenergy.com	600	06/25/2016 00:00:00
52	PG&E Corp.	"8600 W National Ave, Milwaukee, WI"	 Milwaukee	 WI	http://www.pge.com	700	02/17/2016 00:00:00
55	Goodyear Tire & Rubber	"600 N Broadway Fl 1, Milwaukee, WI"	 Milwaukee	 WI	http://www.goodyear.com	700	08/17/2016 00:00:00
59	Micron Technology	"411 E Wisconsin Ave # 2550, Milwaukee, WI"	 Milwaukee	 WI	http://www.micron.com	700	09/28/2016 00:00:00
62	ConAgra Foods	"122 E Dayton St, Madison, WI"	 Madison	 WI	http://www.conagrafoods.com	900	12/24/2016 00:00:00
66	Bank of New York Mellon Corp.	"666 22Nd Ave Ne, Minneapolis, MN"	 Minneapolis	 MN	http://www.bnymellon.com	1200	05/18/2016 00:00:00
71	Genuine Parts	"200 1St St Sw, Rochester, MN"	 Rochester	 MN	http://www.genpt.com	1200	07/24/2016 00:00:00
75	Omnicom Group	"2134 W Genesee St, Syracuse, NY"	 Syracuse	 NY	http://www.omnicomgroup.com	1200	11/15/2016 00:00:00
79	Monsanto	"137 Lark St, Albany, NY"	 Albany	 NY	http://www.monsanto.com	1200	05/18/2016 00:00:00
83	National Oilwell Varco	"1 Palisade Ave Fl 2, Yonkers, NY"	 Yonkers	 NY	http://www.nov.com	1200	05/18/2016 00:00:00
86	Marriott International	"Po Box 2152, Buffalo, NY"	 Buffalo	 NY	http://www.marriott.com	1200	10/15/2016 00:00:00
228	Kinder Morgan	"1614 Gitanjali Rd, Calcutta, "	 Calcutta	 	http://www.kindermorgan.com	5000	08/17/2016 00:00:00
231	Molina Healthcare	"1617 Crackers St, Bangalore - India, Kar"	 Bangalore - India	 Kar	http://www.molinahealthcare.com	300	08/17/2016 00:00:00
235	Lincoln National	"1622 Roja St, Chennai, Tam"	 Chennai	 Tam	http://www.lfg.com	5000	08/17/2016 00:00:00
238	C.H. Robinson Worldwide	"1628 Pataudi St, New Delhi, "	 New Delhi	 	http://www.chrobinson.com	1900	01/29/2016 00:00:00
242	Synnex	"1647 Suspense St, Cochin, Ker"	 Cochin	 Ker	http://www.synnex.com	500	11/23/2016 00:00:00
245	HollyFrontier	"1656 Veterans Rd, Chennai, Tam"	 Chennai	 Tam	http://www.hollyfrontier.com	2500	01/30/2016 00:00:00
249	PBF Energy	"Piazza Quattre Stagioni 4, Roma, "	 Roma	 	http://www.pbfenergy.com	3700	11/23/2016 00:00:00
255	Waste Management	"Via Di Firenze 231, Roma, "	 Roma	 	http://www.wm.com	2400	11/23/2016 00:00:00
259	Parker-Hannifin	"Canale Grande 2, Roma, "	 Roma	 	http://www.parker.com	700	11/23/2016 00:00:00
263	Farmers Insurance Exchange	"Via Dello Croce 93, Tellaro, "	 Tellaro	 	http://www.farmers.com	100	12/15/2016 00:00:00
268	VF	"1971 Limelight Blvd, Samutprakarn, "	 Samutprakarn	 	http://www.vfc.com	1200	09/21/2016 00:00:00
313	Hertz Global Holdings	"1616 Crackers Blvd, Bangalore - India, Kar"	 Bangalore - India	 Kar	http://www.hertz.com	5000	09/21/2016 00:00:00
319	BB&T Corp.	"1669 Brigade Road, Bangalore - India, Kar"	Bangalore -Inida	Kar	http://www.bbt.com	200	03/19/2016 00:00:00
32	Global Partners	"1135 Catherine St, Ann Arbor, MI"	 Ann Arbor	 MI	http://www.globalp.com	400	01/24/2016 00:00:00
63	Sempra Energy	"633 S Hawley Rd, Milwaukee, WI"	 Milwaukee	 WI	http://www.sempra.com	900	02/23/2016 00:00:00
78	Precision Castparts	"726 Union St, Hudson, NY"	 Hudson	 NY	http://www.precast.com	1200	03/24/2016 00:00:00
111	W.W. Grainger	"378 S Negley Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.grainger.com	1500	04/21/2016 00:00:00
125	Air Products & Chemicals	"612 Jefferson Ave, Scranton, PA"	 Scranton	 PA	http://www.airproducts.com	2300	01/24/2016 00:00:00
163	Charter Communications	"802 North Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.charter.com	3600	03/23/2016 00:00:00
195	Applied Materials	"Via Dolorosa 69, Tellaro, "	 Tellaro	 	http://www.appliedmaterials.com	700	01/24/2016 00:00:00
206	Ally Financial	"Via Notoriosa 1949, Ventimiglia, "	 Ventimiglia	 	http://www.ally.com	3600	02/23/2016 00:00:00
218	Lennar	"1592 Silverado St, Bangalore, Kar"	 Bangalore	 Kar	http://www.lennar.com	700	03/24/2016 00:00:00
243	Hormel Foods	"1648 Anamika St, Cochin, Ker"	 Cochin	 Ker	http://www.hormelfoods.com	500	04/21/2016 00:00:00
254	PayPal Holdings	"Via Dello Croce 93, Roma, "	 Roma	 	http://www.paypal.com	1200	03/24/2016 00:00:00
266	Autoliv	"Via Delle Capeletti 52, San Giminiano, "	 San Giminiano	 	http://www.autoliv.com	400	03/19/2016 00:00:00
294	Corning	"Pfannenstilstr 13, Egg, ZH"	 Egg	 ZH	http://www.corning.com	2300	03/24/2016 00:00:00
301	Univar	"1598 Legend St, Bangalore, Kar"	 Bangalore	 Kar	http://www.univar.com	5000	04/23/2016 00:00:00
314	Thrivent Financial for Lutherans	"1617 Crackers St, Bangalore - India, Kar"	 Bangalore - India	 Kar	http://www.thrivent.com	900	05/24/2016 00:00:00
88	Walmart	"1790 Grand Blvd, Schenectady, NY"	 Schenectady	 NY	http://www.walmart.com	1200	04/23/2016 00:00:00
89	Exxon Mobil	"7 Ingelside Ln, White Plains, NY"	 White Plains	 NY	http://www.exxonmobil.com	1200	03/30/2016 00:00:00
90	Apple	"18 Glenridge Rd, Schenectady, NY"	 Schenectady	 NY	http://www.apple.com	1200	08/20/2016 00:00:00
91	Berkshire Hathaway	"6432 Rising Sun Ave, Philadelphia, PA"	 Philadelphia	 PA	http://www.berkshirehathaway.com	1200	03/24/2016 00:00:00
92	McKesson	"Rr 10, Reading, PA"	 Reading	 PA	http://www.mckesson.com	1200	01/30/2016 00:00:00
93	UnitedHealth Group	"2455 Rose Garden Rd, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.unitedhealthgroup.com	1200	03/24/2016 00:00:00
94	CVS Health	"1812 Timberline Rd, Altoona, PA"	 Altoona	 PA	http://www.cvshealth.com	1200	01/27/2016 00:00:00
95	General Motors	"141 Schiller St, Reading, PA"	 Reading	 PA	http://www.gm.com	1200	02/20/2016 00:00:00
96	Ford Motor	"1126 Pawlings Rd, Norristown, PA"	 Norristown	 PA	http://www.ford.com	1200	06/24/2016 00:00:00
97	AT&T	"55 Church Hill Rd, Reading, PA"	 Reading	 PA	http://www.att.com	1200	06/14/2016 00:00:00
98	General Electric	"354 N Prince St, Lancaster, PA"	 Lancaster	 PA	http://www.ge.com	1200	06/14/2016 00:00:00
99	AmerisourceBergen	"115 Chestnut St, Philadelphia, PA"	 Philadelphia	 PA	http://www.amerisourcebergen.com	1400	08/13/2016 00:00:00
100	Verizon	"2899 Grand Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.verizon.com	1400	06/14/2016 00:00:00
101	Chevron	"Po Box 39, Indiana, PA"	 Indiana	 PA	http://www.chevron.com	1400	12/19/2016 00:00:00
102	Costco	"1604 Broadway Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.costco.com	1400	02/20/2016 00:00:00
103	Fannie Mae	"4734 Liberty Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.fanniemae.com	1400	02/20/2016 00:00:00
104	Kroger	"21 Thornwood Rd, Harrisburg, PA"	 Harrisburg	 PA	http://www.thekrogerco.com	1400	02/20/2016 00:00:00
105	Amazon.com	"3725 W Lake Rd, Erie, PA"	 Erie	 PA	http://www.amazon.com	1400	03/17/2016 00:00:00
106	Walgreens Boots Alliance	"1808 4Th Ave, Altoona, PA"	 Altoona	 PA	http://www.walgreensbootsalliance.com	1400	04/24/2016 00:00:00
107	HP	"Station Sq, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.hp.com	1400	05/23/2016 00:00:00
108	Cardinal Health	"4020 Garden Ave, Erie, PA"	 Erie	 PA	http://www.cardinal.com	1400	06/21/2016 00:00:00
109	Express Scripts Holding	"100 N Peach St, Philadelphia, PA"	 Philadelphia	 PA	http://www.express-scripts.com	1400	01/13/2016 00:00:00
110	J.P. Morgan Chase	"835 Heister Ln, Reading, PA"	 Reading	 PA	http://www.jpmorganchase.com	1400	01/24/2016 00:00:00
112	Boeing	"5643 N 5Th St, Philadelphia, PA"	 Philadelphia	 PA	http://www.boeing.com	1500	02/23/2016 00:00:00
113	Microsoft	"1401 W Warren Rd, Bradford, PA"	 Bradford	 PA	http://www.microsoft.com	1500	06/21/2016 00:00:00
114	Bank of America Corp.	"815 Freeport Rd, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.bankofamerica.com	1500	01/24/2016 00:00:00
115	Wells Fargo	"327 N Washington Ave # 300, Scranton, PA"	 Scranton	 PA	http://www.wellsfargo.com	1900	01/24/2016 00:00:00
117	Home Depot	"4901 Locust Ln, Harrisburg, PA"	 Harrisburg	 PA	http://www.homedepot.com	2300	03/15/2016 00:00:00
118	Citigroup	"3376 Perrysville Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.citigroup.com	2300	01/29/2016 00:00:00
119	Phillips 66	"220 Penn Ave # 300, Scranton, PA"	 Scranton	 PA	http://www.phillips66.com	2300	10/17/2016 00:00:00
121	IBM	"522 Swede St, Norristown, PA"	 Norristown	 PA	http://www.ibm.com	2300	03/15/2016 00:00:00
122	Valero Energy	"7708 City Ave, Philadelphia, PA"	 Philadelphia	 PA	http://www.valero.com	2300	07/16/2016 00:00:00
123	Anthem	"1801 Lititz Pike, Lancaster, PA"	 Lancaster	 PA	http://www.antheminc.com	2300	09/28/2016 00:00:00
124	Procter & Gamble	"101 E Olney Ave, Philadelphia, PA"	 Philadelphia	 PA	http://www.pg.com	2300	01/14/2016 00:00:00
127	Alphabet	"36 W 34Th St, Erie, PA"	 Erie	 PA	http://www.google.com	2400	01/14/2016 00:00:00
128	Comcast	"1007 Mount Royal Blvd, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.comcastcorporation.com	2400	08/20/2016 00:00:00
129	Target	"601 Market St, Philadelphia, PA"	 Philadelphia	 PA	http://www.target.com	2400	10/30/2016 00:00:00
132	MetLife	"5122 Sinclair Ln, Baltimore, MD"	 Baltimore	 MD	http://www.metlife.com	2400	02/16/2016 00:00:00
133	Archer Daniels Midland	"680 Bel Air Rd, Bel Air, MD"	 Bel Air	 MD	http://www.adm.com	2400	06/21/2016 00:00:00
135	Freddie Mac	"8004 Stansbury Rd, Baltimore, MD"	 Baltimore	 MD	http://www.freddiemac.com	2400	06/14/2016 00:00:00
136	PepsiCo	"10209 Yearling Dr, Rockville, MD"	 Rockville	 MD	http://www.pepsico.com	2400	08/26/2016 00:00:00
137	United Technologies	"3000 Greenmount Ave, Baltimore, MD"	 Baltimore	 MD	http://www.utc.com	2400	08/20/2016 00:00:00
139	Lowe?s	"1262 Vocke Rd, Cumberland, MD"	 Cumberland	 MD	http://www.lowes.com	2400	08/20/2016 00:00:00
140	UPS	"3314 Eastern Ave, Baltimore, MD"	 Baltimore	 MD	http://www.ups.com	2400	07/14/2016 00:00:00
142	Prudential Financial	"11200 Scaggsville Rd, Laurel, MD"	 Laurel	 MD	http://www.prudential.com	2400	10/26/2016 00:00:00
144	Humana	"2300 Harford Rd, Baltimore, MD"	 Baltimore	 MD	http://www.humana.com	2400	02/16/2016 00:00:00
145	Disney	"2 2Nd St # A, Ocean City, MD"	 Ocean City	 MD	http://www.disney.com	2400	11/16/2016 00:00:00
146	Cisco Systems	"6917 W Oklahoma Ave, Milwaukee, WI"	 Milwaukee	 WI	http://www.cisco.com	2400	11/16/2016 00:00:00
148	Dow Chemical	"160 Glenwood Ave, Minneapolis, MN"	 Minneapolis	 MN	http://www.dow.com	2400	11/16/2016 00:00:00
149	Sysco	"6915 Grand Ave, Hammond, IN"	 Hammond	 IN	http://www.sysco.com	2400	08/20/2016 00:00:00
151	Caterpillar	"65 Cadillac Sq # 2701, Detroit, MI"	 Detroit	 MI	http://www.caterpillar.com	2500	07/18/2016 00:00:00
152	Lockheed Martin	"3435 Tuscany Dr Se, Grand Rapids, MI"	 Grand Rapids	 MI	http://www.lockheedmartin.com	2500	10/30/2016 00:00:00
155	Coca-Cola	"810 1St Ave, Council Bluffs, IA"	 Council Bluffs	 IA	http://www.coca-colacompany.com	3500	02/16/2016 00:00:00
156	HCA Holdings	"500 W Oklahoma Ave, Milwaukee, WI"	 Milwaukee	 WI	http://www.hcahealthcare.com	3500	06/21/2016 00:00:00
159	Energy Transfer Equity	"1721 E Lake St, Minneapolis, MN"	 Minneapolis	 MN	http://www.energytransfer.com	3600	06/14/2016 00:00:00
160	Tyson Foods	"255 Great Arrow Ave, Buffalo, NY"	 Buffalo	 NY	http://www.tysonfoods.com	3600	08/26/2016 00:00:00
162	Delta Air Lines	"6640 Campbell Blvd, Lockport, NY"	 Lockport	 NY	http://www.delta.com	3600	08/20/2016 00:00:00
164	Nationwide	"1136 Arch St, Philadelphia, PA"	 Philadelphia	 PA	http://www.nationwide.com	3600	08/20/2016 00:00:00
166	Best Buy	"Rt 6 E, Warren, PA"	 Warren	 PA	http://www.bestbuy.com	3700	03/24/2016 00:00:00
167	Merck	"1924 Bedford St, Cumberland, MD"	 Cumberland	 MD	http://www.merck.com	3700	04/23/2016 00:00:00
169	Liberty Mutual Insurance Group	"2713 N Bendix Dr, South Bend, IN"	 South Bend	 IN	http://www.libertymutual.com	3700	05/24/2016 00:00:00
171	Honeywell International	"752 W Huron St, Pontiac, MI"	 Pontiac	 MI	http://www.honeywell.com	3700	04/23/2016 00:00:00
173	Massachusetts Mutual Life Insurance	"1330 N Memorial Dr, Racine, WI"	 Racine	 WI	http://www.massmutual.com	5000	03/30/2016 00:00:00
175	Morgan Stanley	"8 Automation Ln, Albany, NY"	 Albany	 NY	http://www.morganstanley.com	5000	06/21/2016 00:00:00
176	Cigna	"811 N Brandywine Ave, Schenectady, NY"	 Schenectady	 NY	http://www.cigna.com	5000	06/14/2016 00:00:00
178	Allstate	"3025 Sussex Ave, Pittsburgh, PA"	 Pittsburgh	 PA	http://www.allstate.com	5000	08/26/2016 00:00:00
179	TIAA	"932 High St, Lancaster, PA"	 Lancaster	 PA	http://www.tiaa.org	5000	08/20/2016 00:00:00
181	CHS	"6959 Tulip St, Philadelphia, PA"	 Philadelphia	 PA	http://www.chsinc.com	5000	08/20/2016 00:00:00
182	American Express	"511 S Central Ave # A, Baltimore, MD"	 Baltimore	 MD	http://www.americanexpress.com	5000	07/14/2016 00:00:00
183	Gilead Sciences	"400 E Joppa Rd, Baltimore, MD"	 Baltimore	 MD	http://www.gilead.com	5000	10/26/2016 00:00:00
